,Scopus SourceID,Title,CiteScore,Percentile,Citation Count,Scholarly Output,Percent Cited,SNIP,SJR,RANK,Rank Out Of,Publisher,Type,OpenAccess,Scopus ASJC Code (Sub-subject Area),Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Scopus SourceID.1,Print-ISSN,E-ISSN,Subject Area
19,20651.0,Annual Review of Immunology,29.94,99.0,2126.0,71.0,100.0,6.665,21.681,1.0,189.0,Annual Reviews Inc.,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20651,07320582,15453278,Immunology and Microbiology
20,24004.0,Physiological Reviews,29.92,99.0,3261.0,109.0,93.0,8.547,16.184,1.0,169.0,American Physiological Society,Journal,NO,1314.0,Physiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24004,00319333,15221210,"Biochemistry, Genetics and Molecular Biology"
21,24004.0,Physiological Reviews,29.92,99.0,3261.0,109.0,93.0,8.547,16.184,1.0,367.0,American Physiological Society,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/24004,00319333,15221210,"Biochemistry, Genetics and Molecular Biology"
22,24004.0,Physiological Reviews,29.92,99.0,3261.0,109.0,93.0,8.547,16.184,1.0,97.0,American Physiological Society,Journal,NO,2737.0,Physiology (medical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/24004,00319333,15221210,Medicine
23,26978.0,Advances in Physics,27.06,99.0,487.0,18.0,94.0,8.039,11.279,1.0,393.0,Taylor & Francis,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26978,00018732,14606976,Physics and Astronomy
24,26651.0,Annual Review of Astronomy and Astrophysics,26.27,99.0,1261.0,48.0,94.0,6.632,18.046,1.0,70.0,Annual Reviews Inc.,Book Series,NO,3103.0,Astronomy and Astrophysics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26651,00664146,15454282,Physics and Astronomy
25,26651.0,Annual Review of Astronomy and Astrophysics,26.27,99.0,1261.0,48.0,94.0,6.632,18.046,1.0,80.0,Annual Reviews Inc.,Book Series,NO,1912.0,Space and Planetary Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26651,00664146,15454282,Earth and Planetary Sciences
32,17854.0,Nature Materials,25.47,99.0,20634.0,810.0,83.0,8.977,18.263,3.0,359.0,Springer Nature,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17854,14761122,14764660,Chemistry
33,17854.0,Nature Materials,25.47,99.0,20634.0,810.0,83.0,8.977,18.263,3.0,434.0,Springer Nature,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17854,14761122,14764660,Materials Science
34,17854.0,Nature Materials,25.47,99.0,20634.0,810.0,83.0,8.977,18.263,2.0,393.0,Springer Nature,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17854,14761122,14764660,Physics and Astronomy
35,17854.0,Nature Materials,25.47,99.0,20634.0,810.0,83.0,8.977,18.263,2.0,336.0,Springer Nature,Journal,NO,2211.0,Mechanics of Materials,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17854,14761122,14764660,Engineering
36,17854.0,Nature Materials,25.47,99.0,20634.0,810.0,83.0,8.977,18.263,2.0,554.0,Springer Nature,Journal,NO,2210.0,Mechanical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17854,14761122,14764660,Engineering
52,12010.0,Annual Review of Psychology,24.43,99.0,2174.0,89.0,99.0,9.963,12.027,1.0,189.0,Annual Reviews Inc.,Book Series,NO,3200.0,General Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/12010,00664308,15452085,Psychology
57,19651.0,Clinical Microbiology Reviews,22.57,99.0,2483.0,110.0,95.0,9.115,11.301,1.0,478.0,American Society for Microbiology,Journal,NO,2739.0,"Public Health, Environmental and Occupational Health",Quartile 1,Top 10%,https://www.scopus.com/sourceid/19651,08938512,10986618,Medicine
58,19651.0,Clinical Microbiology Reviews,22.57,99.0,2483.0,110.0,95.0,9.115,11.301,1.0,108.0,American Society for Microbiology,Journal,NO,2726.0,Microbiology (medical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/19651,08938512,10986618,Medicine
59,19651.0,Clinical Microbiology Reviews,22.57,99.0,2483.0,110.0,95.0,9.115,11.301,1.0,263.0,American Society for Microbiology,Journal,NO,2725.0,Infectious Diseases,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19651,08938512,10986618,Medicine
60,19651.0,Clinical Microbiology Reviews,22.57,98.0,2483.0,110.0,95.0,9.115,11.301,2.0,87.0,American Society for Microbiology,Journal,NO,2713.0,Epidemiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19651,08938512,10986618,Medicine
61,19651.0,Clinical Microbiology Reviews,22.57,98.0,2483.0,110.0,95.0,9.115,11.301,1.0,40.0,American Society for Microbiology,Journal,NO,2400.0,General Immunology and Microbiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19651,08938512,10986618,Immunology and Microbiology
62,16801.0,Annual Review of Biochemistry,22.39,99.0,2127.0,95.0,95.0,4.961,18.513,1.0,398.0,Annual Reviews Inc.,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/16801,00664154,15454509,"Biochemistry, Genetics and Molecular Biology"
63,11300153736.0,Annual Review of Pathology: Mechanisms of Disease,22.09,99.0,1259.0,57.0,96.0,5.306,12.280,1.0,185.0,Annual Reviews Inc.,Book Series,NO,2734.0,Pathology and Forensic Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11300153736,15534006,15534014,Medicine
64,18434.0,Cell,21.99,99.0,43527.0,1979.0,83.0,5.008,25.137,1.0,186.0,Elsevier,Journal,NO,1300.0,"General Biochemistry, Genetics and Molecular Biology",Quartile 1,Top 10%,https://www.scopus.com/sourceid/18434,00928674,10974172,"Biochemistry, Genetics and Molecular Biology"
71,19700188417.0,Annual Review of Condensed Matter Physics,21.56,99.0,1078.0,50.0,96.0,6.255,11.377,4.0,393.0,Annual Reviews Inc.,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700188417,19475454,19475462,Physics and Astronomy
72,19700188417.0,Annual Review of Condensed Matter Physics,21.56,98.0,1078.0,50.0,96.0,6.255,11.377,5.0,434.0,Annual Reviews Inc.,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700188417,19475454,19475462,Materials Science
77,22657.0,Accounts of Chemical Research,20.79,99.0,20250.0,974.0,98.0,4.009,11.139,4.0,359.0,American Chemical Society,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22657,00014842,15204898,Chemistry
78,71056.0,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.64,99.0,1548.0,75.0,88.0,19.655,10.892,2.0,241.0,Centers for Disease Control and Prevention (CDC),Journal,YES,3306.0,Health(social science),Quartile 1,Top 10%,https://www.scopus.com/sourceid/71056,15460738,15458636,Social Sciences
79,71056.0,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.64,98.0,1548.0,75.0,88.0,19.655,10.892,2.0,106.0,Centers for Disease Control and Prevention (CDC),Journal,YES,2307.0,"Health, Toxicology and Mutagenesis",Quartile 1,Top 10%,https://www.scopus.com/sourceid/71056,15460738,15458636,Environmental Science
80,71056.0,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.64,97.0,1548.0,75.0,88.0,19.655,10.892,3.0,87.0,Centers for Disease Control and Prevention (CDC),Journal,YES,2713.0,Epidemiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/71056,15460738,15458636,Medicine
81,71056.0,MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries / CDC,20.64,94.0,1548.0,75.0,88.0,19.655,10.892,2.0,25.0,Centers for Disease Control and Prevention (CDC),Journal,YES,3605.0,Health Information Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/71056,15460738,15458636,Health Professions
82,20315.0,Nature Reviews Molecular Cell Biology,20.56,99.0,8799.0,428.0,56.0,10.043,32.714,3.0,367.0,Springer Nature,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20315,14710072,14710080,"Biochemistry, Genetics and Molecular Biology"
83,20315.0,Nature Reviews Molecular Cell Biology,20.56,99.0,8799.0,428.0,56.0,10.043,32.714,2.0,264.0,Springer Nature,Journal,NO,1307.0,Cell Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20315,14710072,14710080,"Biochemistry, Genetics and Molecular Biology"
85,21191.0,Pharmacological Reviews,20.29,99.0,1765.0,87.0,94.0,5.972,9.472,1.0,160.0,American Society for Pharmacology and Experimental Therapeutics,Journal,NO,1313.0,Molecular Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21191,00316997,15210081,"Biochemistry, Genetics and Molecular Biology"
86,21191.0,Pharmacological Reviews,20.29,99.0,1765.0,87.0,94.0,5.972,9.472,1.0,302.0,American Society for Pharmacology and Experimental Therapeutics,Journal,NO,3004.0,Pharmacology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21191,00316997,15210081,"Pharmacology, Toxicology and Pharmaceutics"
94,13839.0,Annual Review of Fluid Mechanics,17.49,98.0,1172.0,67.0,100.0,8.815,5.943,5.0,393.0,Annual Reviews Inc.,Book Series,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/13839,00664189,15454479,Physics and Astronomy
95,20497.0,Annual Review of Materials Research,17.28,98.0,985.0,57.0,100.0,5.526,6.689,7.0,434.0,Annual Reviews Inc.,Book Series,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20497,15317331,15454118,Materials Science
97,18991.0,Nature Reviews Genetics,17.21,99.0,7385.0,429.0,53.0,8.290,34.896,4.0,367.0,Springer Nature,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18991,14710056,14710064,"Biochemistry, Genetics and Molecular Biology"
98,18991.0,Nature Reviews Genetics,17.21,99.0,7385.0,429.0,53.0,8.290,34.896,2.0,311.0,Springer Nature,Journal,NO,1311.0,Genetics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18991,14710056,14710064,"Biochemistry, Genetics and Molecular Biology"
99,18991.0,Nature Reviews Genetics,17.21,99.0,7385.0,429.0,53.0,8.290,34.896,1.0,91.0,Springer Nature,Journal,NO,2716.0,Genetics(clinical),Quartile 1,Top 10%,https://www.scopus.com/sourceid/18991,14710056,14710064,Medicine
100,18395.0,Annual Review of Cell and Developmental Biology,17.02,99.0,1515.0,89.0,96.0,2.158,13.473,1.0,76.0,Annual Reviews Inc.,Book Series,NO,1309.0,Developmental Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18395,10810706,15308995,"Biochemistry, Genetics and Molecular Biology"
101,18395.0,Annual Review of Cell and Developmental Biology,17.02,98.0,1515.0,89.0,96.0,2.158,13.473,4.0,264.0,Annual Reviews Inc.,Book Series,NO,1307.0,Cell Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18395,10810706,15308995,"Biochemistry, Genetics and Molecular Biology"
102,14181.0,Annual Review of Neuroscience,16.92,99.0,1100.0,65.0,100.0,3.832,12.417,1.0,111.0,Annual Reviews Inc.,Journal,NO,2800.0,General Neuroscience,Quartile 1,Top 10%,https://www.scopus.com/sourceid/14181,0147006X,15454126,Neuroscience
104,21100199127.0,Advanced Energy Materials,16.78,98.0,19500.0,1162.0,97.0,2.347,8.230,3.0,140.0,Wiley-Blackwell,Journal,NO,2105.0,"Renewable Energy, Sustainability and the Environment",Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100199127,16146832,16146840,Energy
105,21100199127.0,Advanced Energy Materials,16.78,98.0,19500.0,1162.0,97.0,2.347,8.230,8.0,434.0,Wiley-Blackwell,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100199127,16146832,16146840,Materials Science
113,20798.0,Immunity,15.82,99.0,12085.0,764.0,85.0,4.096,13.393,2.0,164.0,Elsevier,Journal,NO,2723.0,Immunology and Allergy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20798,10747613,10974180,Medicine
114,20798.0,Immunity,15.82,99.0,12085.0,764.0,85.0,4.096,13.393,2.0,263.0,Elsevier,Journal,NO,2725.0,Infectious Diseases,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20798,10747613,10974180,Medicine
115,20798.0,Immunity,15.82,98.0,12085.0,764.0,85.0,4.096,13.393,3.0,189.0,Elsevier,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/20798,10747613,10974180,Immunology and Microbiology
119,18100156701.0,Nature Chemistry,15.28,99.0,10438.0,683.0,78.0,4.949,13.235,2.0,272.0,Springer Nature,Journal,NO,1500.0,General Chemical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18100156701,17554330,17554349,Chemical Engineering
120,18100156701.0,Nature Chemistry,15.28,98.0,10438.0,683.0,78.0,4.949,13.235,5.0,359.0,Springer Nature,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/18100156701,17554330,17554349,Chemistry
121,4600151524.0,Annual Review of Clinical Psychology,15.15,99.0,1000.0,66.0,94.0,6.034,7.903,1.0,249.0,Annual Reviews Inc.,Journal,NO,3203.0,Clinical Psychology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/4600151524,15485943,15485951,Psychology
122,4600151524.0,Annual Review of Clinical Psychology,15.15,99.0,1000.0,66.0,94.0,6.034,7.903,1.0,487.0,Annual Reviews Inc.,Journal,NO,2738.0,Psychiatry and Mental health,Quartile 1,Top 10%,https://www.scopus.com/sourceid/4600151524,15485943,15485951,Medicine
132,15847.0,New England Journal of Medicine,14.75,99.0,77809.0,5274.0,55.0,13.405,19.476,2.0,841.0,Massachusetts Medical Society,Journal,NO,2700.0,General Medicine,Quartile 1,Top 10%,https://www.scopus.com/sourceid/15847,00284793,15334406,Medicine
133,21206.0,Nature,14.59,98.0,114639.0,7860.0,60.0,8.524,17.875,2.0,87.0,Springer Nature,Journal,NO,1000.0,Multidisciplinary,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21206,00280836,14764687,Multidisciplinary
134,26555.0,Annual Review of Physical Chemistry,14.48,99.0,1274.0,88.0,97.0,3.626,7.926,1.0,151.0,Annual Reviews Inc.,Book Series,NO,1606.0,Physical and Theoretical Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/26555,0066426X,15451593,Chemistry
135,19700188395.0,Annual Review of Marine Science,14.37,99.0,905.0,63.0,97.0,5.298,6.449,1.0,115.0,Annual Reviews Inc.,Journal,NO,1910.0,Oceanography,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19700188395,19411405,19410611,Earth and Planetary Sciences
141,11500153511.0,ACS Nano,14.29,99.0,56662.0,3965.0,97.0,2.580,7.203,1.0,270.0,American Chemical Society,Journal,NO,2200.0,General Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11500153511,19360851,1936086X,Engineering
142,11500153511.0,ACS Nano,14.29,98.0,56662.0,3965.0,97.0,2.580,7.203,9.0,434.0,American Chemical Society,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11500153511,19360851,1936086X,Materials Science
143,11500153511.0,ACS Nano,14.29,98.0,56662.0,3965.0,97.0,2.580,7.203,3.0,202.0,American Chemical Society,Journal,NO,3100.0,General Physics and Astronomy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/11500153511,19360851,1936086X,Physics and Astronomy
145,29709.0,Reports on Progress in Physics,14.13,98.0,2769.0,196.0,95.0,5.438,5.640,4.0,202.0,Institute of Physics Publishing,Journal,NO,3100.0,General Physics and Astronomy,Quartile 1,Top 10%,https://www.scopus.com/sourceid/29709,00344885,13616633,Physics and Astronomy
146,120008.0,Annual Review of Physiology,14.09,98.0,1099.0,78.0,94.0,3.738,9.454,3.0,169.0,Annual Reviews Inc.,Book Series,NO,1314.0,Physiology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/120008,00664278,15451585,"Biochemistry, Genetics and Molecular Biology"
150,21315.0,Nature Immunology,14.05,98.0,8755.0,623.0,76.0,4.019,14.007,4.0,189.0,Springer Nature,Journal,NO,2403.0,Immunology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21315,15292908,15292916,Immunology and Microbiology
151,22680.0,Journal of the American Chemical Society,14.05,99.0,106390.0,7570.0,98.0,2.641,8.127,2.0,398.0,American Chemical Society,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22680,00027863,15205126,"Biochemistry, Genetics and Molecular Biology"
152,22680.0,Journal of the American Chemical Society,14.05,98.0,106390.0,7570.0,98.0,2.641,8.127,6.0,359.0,American Chemical Society,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22680,00027863,15205126,Chemistry
153,22680.0,Journal of the American Chemical Society,14.05,96.0,106390.0,7570.0,98.0,2.641,8.127,2.0,46.0,American Chemical Society,Journal,NO,1503.0,Catalysis,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22680,00027863,15205126,Chemical Engineering
154,22680.0,Journal of the American Chemical Society,14.05,96.0,106390.0,7570.0,98.0,2.641,8.127,1.0,13.0,American Chemical Society,Journal,NO,1505.0,Colloid and Surface Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/22680,00027863,15205126,Chemical Engineering
157,19133.0,Annual Review of Entomology,13.93,99.0,1212.0,87.0,95.0,5.610,6.403,1.0,561.0,Annual Reviews Inc.,Book Series,NO,1105.0,"Ecology, Evolution, Behavior and Systematics",Quartile 1,Top 10%,https://www.scopus.com/sourceid/19133,00664170,15454487,Agricultural and Biological Sciences
158,19133.0,Annual Review of Entomology,13.93,99.0,1212.0,87.0,95.0,5.610,6.403,1.0,135.0,Annual Reviews Inc.,Book Series,NO,1109.0,Insect Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19133,00664170,15454487,Agricultural and Biological Sciences
159,27498.0,Annual Review of Medicine,13.67,98.0,1326.0,97.0,97.0,3.278,6.790,3.0,186.0,Annual Reviews Inc.,Book Series,NO,1300.0,"General Biochemistry, Genetics and Molecular Biology",Quartile 1,Top 10%,https://www.scopus.com/sourceid/27498,00664219,1545326X,"Biochemistry, Genetics and Molecular Biology"
160,4400151750.0,Foundations and Trends in Theoretical Computer Science,13.67,99.0,82.0,6.0,83.0,10.521,3.140,1.0,114.0,Now Publishers Inc.,Journal,NO,2614.0,Theoretical Computer Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/4400151750,1551305X,15513068,Mathematics
161,17437.0,Nature Reviews Neuroscience,13.65,97.0,6035.0,442.0,50.0,7.588,17.110,3.0,111.0,Springer Nature,Journal,NO,2800.0,General Neuroscience,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17437,1471003X,14710048,Neuroscience
163,21100200203.0,Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58,99.0,1385.0,102.0,89.0,4.449,5.698,3.0,398.0,Wiley-Blackwell,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100200203,17590876,17590884,"Biochemistry, Genetics and Molecular Biology"
164,21100200203.0,Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58,99.0,1385.0,102.0,89.0,4.449,5.698,1.0,535.0,Wiley-Blackwell,Journal,NO,1706.0,Computer Science Applications,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100200203,17590876,17590884,Computer Science
165,21100200203.0,Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58,99.0,1385.0,102.0,89.0,4.449,5.698,1.0,125.0,Wiley-Blackwell,Journal,NO,2605.0,Computational Mathematics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100200203,17590876,17590884,Mathematics
166,21100200203.0,Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58,98.0,1385.0,102.0,89.0,4.449,5.698,3.0,151.0,Wiley-Blackwell,Journal,NO,1606.0,Physical and Theoretical Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100200203,17590876,17590884,Chemistry
167,21100200203.0,Wiley Interdisciplinary Reviews: Computational Molecular Science,13.58,98.0,1385.0,102.0,89.0,4.449,5.698,4.0,255.0,Wiley-Blackwell,Journal,NO,2505.0,Materials Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100200203,17590876,17590884,Materials Science
182,19900191906.0,Academy of Management Annals,13.22,99.0,608.0,46.0,96.0,10.091,11.231,1.0,340.0,Taylor & Francis,Journal,NO,1403.0,Business and International Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19900191906,19416520,19416067,"Business, Management and Accounting"
183,19900191906.0,Academy of Management Annals,13.22,99.0,608.0,46.0,96.0,10.091,11.231,1.0,173.0,Taylor & Francis,Journal,NO,1407.0,Organizational Behavior and Human Resource Management,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19900191906,19416520,19416067,"Business, Management and Accounting"
189,17853.0,Nano Letters,13.07,99.0,46862.0,3586.0,96.0,2.593,7.447,4.0,554.0,American Chemical Society,Journal,NO,2210.0,Mechanical Engineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17853,15306984,15306992,Engineering
190,17853.0,Nano Letters,13.07,98.0,46862.0,3586.0,96.0,2.593,7.447,7.0,359.0,American Chemical Society,Journal,NO,1600.0,General Chemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17853,15306984,15306992,Chemistry
191,17853.0,Nano Letters,13.07,98.0,46862.0,3586.0,96.0,2.593,7.447,7.0,393.0,American Chemical Society,Journal,NO,3104.0,Condensed Matter Physics,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17853,15306984,15306992,Physics and Astronomy
192,17853.0,Nano Letters,13.07,97.0,46862.0,3586.0,96.0,2.593,7.447,4.0,128.0,American Chemical Society,Journal,NO,1502.0,Bioengineering,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17853,15306984,15306992,Chemical Engineering
193,17853.0,Nano Letters,13.07,97.0,46862.0,3586.0,96.0,2.593,7.447,13.0,434.0,American Chemical Society,Journal,NO,2500.0,General Materials Science,Quartile 1,Top 10%,https://www.scopus.com/sourceid/17853,15306984,15306992,Materials Science
194,21100778827.0,Nature Methods,13.07,99.0,13418.0,1027.0,65.0,4.641,19.939,2.0,246.0,Springer Nature,Journal,NO,1305.0,Biotechnology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100778827,15487091,15487105,"Biochemistry, Genetics and Molecular Biology"
195,21100778827.0,Nature Methods,13.07,99.0,13418.0,1027.0,65.0,4.641,19.939,4.0,398.0,Springer Nature,Journal,NO,1303.0,Biochemistry,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100778827,15487091,15487105,"Biochemistry, Genetics and Molecular Biology"
196,21100778827.0,Nature Methods,13.07,98.0,13418.0,1027.0,65.0,4.641,19.939,7.0,367.0,Springer Nature,Journal,NO,1312.0,Molecular Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100778827,15487091,15487105,"Biochemistry, Genetics and Molecular Biology"
197,21100778827.0,Nature Methods,13.07,96.0,13418.0,1027.0,65.0,4.641,19.939,10.0,264.0,Springer Nature,Journal,NO,1307.0,Cell Biology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/21100778827,15487091,15487105,"Biochemistry, Genetics and Molecular Biology"
198,19479.0,Annual Review of Pharmacology and Toxicology,13.01,99.0,1184.0,91.0,98.0,3.166,6.718,1.0,111.0,Annual Reviews Inc.,Book Series,NO,3005.0,Toxicology,Quartile 1,Top 10%,https://www.scopus.com/sourceid/19479,03621642,15454304,"Pharmacology, Toxicology and Pharmaceutics"
